First Name,Last Name,Home Phone,Mobile Phone,Street Address,City,State,Zip,Date of Birth
Alex,Holmes,7077323644,5153164007,5928 E Third St.,Clive,IA,50123,1/1/1977
Brad,Reed,7077323644,5153164007,5929 E Third St.,Clive,IA,50124,2/2/1977
Jade,Manning,3675848653,5665189237,16666 N 5th Ave,Winterset,IA,50310,2/34/1958
Jade,Manning,5408711074,,5556  Maple Way,Winterset,IA,51472,2/13/2000
Eric,Singh,7077323644,5153164007,5932 E Third St.,Clive,IA,50127,5/5/1977
Frank,Gardiner,7077323644,5153164007,5933 E Third St.,Clive,IA,50128,6/6/1977
Greg,Nelson,7077323644,5153164007,5934 E Third St.,Clive,IA,50129,7/7/1977
Leonard,Patel,7077323644,5153164007,5939 E Third St.,Clive,IA,50134,12/12/1977
Kalvin,Ortiz,3675848653,5665189237,16667 N 5th Ave,Winterset,IA,50311,3/34/1959
Kalvin,Ortiz,5408711075,,5557  Maple Way,Winterset,IA,51473,3/14/2000
Huston,Francis,7077323644,5153164007,5935 E Third St.,Clive,IA,50130,8/8/1977
Isaac,Rice,7077323644,5153164007,5936 E Third St.,Clive,IA,50131,9/9/1977
Cem,Browne,3675848653,5665189237,16665 N 5th Ave,Winterset,IA,50309,1/34/1957
Bernice,William,5408711082,,5564  Maple Way,Winterset,IA,51480,10/21/2000
Justin,Kennedy,7077323644,5153164007,5937 E Third St.,Clive,IA,50132,10/10/1977
Kenneth,Patton,7077323644,5153164007,5938 E Third St.,Clive,IA,50133,11/11/1977
Donald,Duncan,7077323644,5153164007,5931 E Third St.,Clive,IA,50126,4/4/1977
Cem,Browne,5408711073,,5555  Maple Way,Winterset,IA,51471,1/12/2000
Russell,Cuevas,5408711076,,5558  Maple Way,Winterset,IA,51474,4/15/2000
Dafydd,Reese,5408711077,,5559  Maple Way,Winterset,IA,51475,5/16/2000
Myla,Strickland,5408711078,,5560  Maple Way,Winterset,IA,51476,6/17/2000
Russell,Cuevas,3675848653,5665189237,16668 N 5th Ave,Winterset,IA,50312,4/34/1960
Dafydd,Reese,3675848653,5665189237,16669 N 5th Ave,Winterset,IA,50313,5/34/1961
Myla,Strickland,3675848653,5665189237,16670 N 5th Ave,Winterset,IA,50314,6/34/1962
Elizabeth,Hicks,5408711079,,5561  Maple Way,Winterset,IA,51477,7/18/2000
Charlie,Hunt,7077323644,5153164007,5930 E Third St.,Clive,IA,50125,3/3/1977
Devin,Iles,5408711083,,5565  Maple Way,Winterset,IA,51481,11/22/2000
Hari,Mckenna,5408711084,,5566  Maple Way,Winterset,IA,51482,12/23/2000
Elizabeth,Hicks,3675848653,5665189237,16671 N 5th Ave,Winterset,IA,50315,7/34/1963
Kirsty,Kearns,3675848653,5665189237,16672 N 5th Ave,Winterset,IA,50316,8/34/1964
Sarah,Chadwick,3675848653,5665189237,16673 N 5th Ave,Winterset,IA,50317,9/34/1965
Bernice,William,3675848653,5665189237,16674 N 5th Ave,Winterset,IA,50318,10/34/1966
Devin,Iles,3675848653,5665189237,16675 N 5th Ave,Winterset,IA,50319,11/34/1967
Hari,Mckenna,3675848653,5665189237,16676 N 5th Ave,Winterset,IA,50320,12/34/1968
Kirsty,Kearns,5408711080,,5562  Maple Way,Winterset,IA,51478,8/19/2000
Sarah,Chadwick,5408711081,,5563  Maple Way,Winterset,IA,51479,9/20/2000
